,0
0,1.1498157091001986
1,1.3477708283330876
2,1.0538901002844707
3,1.2295173546267804
4,0.9454895381885526
5,0.9209088534458661
6,0.9057469151048181
7,1.0930501694912238
8,1.6372392193877672
9,0.9728941585766301
10,1.4617179310352713
11,1.1121954135386123
12,0.8685868586922949
13,1.1864458074799191
14,0.8928020821365571
15,0.950424337403606
16,0.9243197765329739
17,0.9215529252792863
18,0.8158598680620759
19,1.2583361829228652
20,0.9050277481867414
21,1.1086304752606597
22,1.2925267850613398
23,0.8231112520886565
24,1.584819109449385
25,1.2686381520030845
26,1.7258151548522145
27,1.1497723431886906
28,1.2646318598735211
29,1.2123486548878357
