,0
0,127.366447643456
1,131.85877636292565
2,115.41306973082173
3,153.9243457848307
4,129.13796791069123
5,126.23831083789084
6,140.8543341344214
7,127.72582779231053
8,226.3053217036118
9,175.15867130553303
10,129.64316024246602
11,114.71623057454379
12,135.8159167623086
13,177.9371115423982
14,127.82844171028175
15,120.73347128904251
16,155.50641026826173
17,154.94140417308935
18,219.60777893077793
19,152.71172220552964
20,117.14033818635495
21,187.8175605415877
22,126.650892901164
23,156.7803718731259
24,191.1314879331787
25,200.01411475071228
26,130.2587087063566
27,150.1631584105933
28,156.27210000394217
29,146.57125310532425
