,0
0,381.6032912372291
1,118.75621891726577
2,200.88066945769307
3,137.0440223911495
4,170.29065508240745
5,129.16549832517387
6,440.40967869934843
7,159.11788621151072
8,184.71660276107082
9,363.66360569450404
10,162.32706889067904
11,245.2255618262581
12,175.54247922900706
13,175.90254959901498
14,190.7703219553166
15,339.1797277627275
16,151.7689049504058
17,162.14600160800626
18,137.61649920095766
19,134.88053702852898
20,138.65315226214835
21,488.3460575867774
22,199.18591163868484
23,225.56630861764373
24,359.389402057154
25,205.18541116125968
26,122.21042910569714
27,142.5042519392924
28,162.66173480813208
29,198.21619824517944
