,0
0,0.9990868726353234
1,0.9987484828992788
2,0.9990720607057033
3,0.9989487272999297
4,0.9990429873603004
5,0.9989512498627958
6,0.999215331211901
7,0.9991615688274628
8,0.998883267164588
9,0.9991395424283643
10,0.9986195192171977
11,0.9989484699636764
12,0.9992652627537478
13,0.9990560460878244
14,0.9991236070780088
15,0.9989825929083507
16,0.9990775819079721
17,0.9991523099115474
18,0.9992306407819554
19,0.9992842318857348
20,0.999305282876423
21,0.9987651150770493
22,0.9990292703284752
23,0.9992431616914063
24,0.9986938550669601
25,0.9988481440188631
26,0.9985208969521925
27,0.9992044059907704
28,0.9988916998603851
29,0.9992779337855205
