,0
0,0.999091287339487
1,0.9990386044300009
2,0.9990031430178897
3,0.9991790361885098
4,0.9989421361922638
5,0.9987857764982451
6,0.9992263590533346
7,0.999027542455488
8,0.9991308057557233
9,0.9989486625270767
10,0.9990882485939987
11,0.9991371264783101
12,0.9990381923000711
13,0.9991578682625862
14,0.9987444775544833
15,0.998468817327502
16,0.9990722546709934
17,0.9990143916652388
18,0.999103313093314
19,0.9989139429341056
20,0.9991598150009232
21,0.9991840277316327
22,0.9991745166074991
23,0.9990296282617814
24,0.9989839362006754
25,0.9991214045007016
26,0.999004971132256
27,0.9990585258328584
28,0.9992115920452572
29,0.999052840977378
