,0
0,0.8846427004437601
1,1.3383344552324095
2,1.0488688540393714
3,1.5544287235261751
4,0.891443890208755
5,1.0687134291083198
6,1.4537224407850793
7,0.8883473889684137
8,1.021995404049673
9,1.0371907378464826
10,1.0394479460105532
11,1.3732388486321911
12,1.5024502694924313
13,1.1162294641682227
14,0.9622438319625459
15,1.3027233951873989
16,0.8787001683509323
17,1.234841816881397
18,0.928158930912664
19,1.2660265534924628
20,1.5216725727834093
21,1.3966276441395153
22,1.2753999542195054
23,1.4575481902940621
24,1.3726759968143538
25,1.2517635188355316
26,0.8405276533982077
27,0.9569993558327122
28,0.9749417258964529
29,2.501913773494626
