,0
0,130.397915717228
1,185.43387381199423
2,169.00945124605352
3,118.0589507453573
4,263.93161080029233
5,175.00741859699505
6,200.2710250673339
7,140.28394508975262
8,210.70220144487115
9,156.75239869018284
10,135.10234632444104
11,125.86132546133145
12,138.07485853608094
13,231.54449136382664
14,150.42939520606694
15,274.1283884554195
16,153.0302439160262
17,163.6019933089109
18,179.04292992146318
19,275.4129431202688
20,160.35498715086615
21,153.8078451828082
22,137.7124427061265
23,148.1683086475346
24,162.40048184557705
25,148.17611718537918
26,146.79548028370783
27,126.63611517412377
28,120.46887766568287
29,269.58451723779626
