,0
0,160.82906678382804
1,184.7432260377375
2,150.18674695998163
3,163.6922003116232
4,135.202942194893
5,133.71745074692438
6,120.99446166471645
7,134.50460781685354
8,208.89679530754535
9,127.69782791644587
10,167.43604434386177
11,142.04482627580254
12,122.92675253247306
13,154.59811352462802
14,136.92132473195778
15,135.1379480395682
16,128.08208735825485
17,124.66891298019364
18,115.6551536232471
19,167.3087387696823
20,115.06907227996885
21,146.01743978682708
22,188.89047227959244
23,120.34318325477226
24,206.594798380683
25,200.46218284147014
26,238.66266636488686
27,142.1017782684365
28,193.34994709150868
29,167.93494074383847
