,0
0,122.81264814212474
1,161.4082652246451
2,143.59793949244997
3,174.09841520067042
4,125.6486946514015
5,152.54188693010389
6,171.4848507905739
7,122.74409038127102
8,148.27524488028226
9,132.49329150257358
10,140.28221419309364
11,153.61053887300017
12,172.56775261928985
13,155.74040283342518
14,128.41515354836116
15,166.64963594824093
16,123.10586709506988
17,144.08873549305272
18,121.60673608788007
19,144.71909339012555
20,197.47824449354414
21,190.40559335194615
22,160.56804210046087
23,163.90159191694386
24,187.4388021258006
25,144.9803311498584
26,120.22568148917698
27,128.99109474486235
28,136.21134068289464
29,296.4152834364599
