,0
0,0.9991117624981467
1,0.9990327375643331
2,0.9990652625018972
3,0.9989788189412474
4,0.9989730179583023
5,0.9988770191919446
6,0.9990067126355209
7,0.9991415373967665
8,0.9991533906998754
9,0.9989733699078076
10,0.9991241565543381
11,0.9990226949107903
12,0.9991637370162981
13,0.9990945775297069
14,0.9984883408613897
15,0.9991772021128082
16,0.9989231023911357
17,0.9988721592261071
18,0.9990487321531494
19,0.999118380311673
20,0.9991192227833952
21,0.9989862078099374
22,0.9989360852641158
23,0.9991277810430556
24,0.998932792592832
25,0.9990012769758431
26,0.9990256773189387
27,0.999009862721647
28,0.999008994325248
29,0.9991138938959951
