,0
0,2294.371598864671
1,2282.6071416008504
2,2295.1250892473427
3,2256.807454298869
4,2251.4729287999353
5,2244.2593376038517
6,2248.559285487515
7,2262.1723941231444
8,2244.088624939028
9,2240.3412857246867
10,2231.801728054409
11,2247.373862629621
12,2270.3199994394145
13,2280.2159379092277
14,2271.967769097874
15,2253.05005873502
16,2268.019548170184
17,2266.693336419173
18,2279.9647744483373
19,2289.4888732631603
20,2276.619198660694
21,2294.080210005747
22,2287.6203544691525
23,2295.2153511161005
24,2268.511818742457
25,2249.212457651921
26,2260.655357008293
27,2240.1102349628127
28,2257.822164491939
29,2252.608069910288
30,2289.699811326017
31,2307.7234876899015
32,2294.7230805438276
33,2300.509896493817
34,2301.4843812888544
35,2271.837036554266
36,2288.695157482455
37,2293.2864942250426
38,2301.0524488136316
39,2304.207199237434
40,2298.510645156202
41,2328.9416493219865
42,2334.2663637482287
43,2341.0075517942396
44,2326.6510091254468
45,2338.576367981401
46,2347.718570791725
47,2356.157810243736
48,2329.1023056373024
49,2326.580614678889
50,2297.958036486879
51,2302.9111565349485
52,2314.203455925513
53,2306.8794901616548
54,2347.6685343210006
55,2357.584340213013
56,2360.5077945981247
57,2327.484950304185
58,2327.243843192803
59,2322.2507430235173
60,2313.2689512516918
61,2310.2351222988063
62,2318.4531220616354
63,2300.3090147804687
64,2299.7765188101625
65,2295.9386724502465
66,2324.6517577878312
67,2331.1317260234428
68,2328.419209701189
69,2321.4972526408465
70,2307.693318641376
71,2252.326737400873
72,2222.227347492045
73,2227.240560360347
74,2203.028304619775
75,2193.454169334228
76,2171.321615727338
77,2166.1072758688697
78,2176.384865066364
79,2147.7021940541217
80,2170.4072237525334
81,2193.9864200277166
82,2190.6410895168906
83,2159.3862005218757
84,2167.7852145758543
85,2218.0380194529725
86,2200.4666335401453
87,2162.21939303823
88,2154.4836074981654
89,2129.377317758623
90,2139.755225174383
91,2125.238026190275
92,2077.4264614755034
93,2063.0299386854954
94,2085.95620807309
95,2128.2922131189944
96,2124.364104890321
97,2098.5644175883394
98,2096.8565551096476
99,2126.745006955618
100,2107.9881981848966
101,2114.176777561584
102,2122.3346845041806
103,2093.561261069546
104,2109.193733741807
105,2169.4427953070044
106,2165.8661687574877
107,2162.631212814436
108,2144.15573655313
109,2134.7017869080482
110,2123.720989075424
111,2098.062090666558
112,2109.4046718046648
113,2063.873690936924
114,2041.25892310727
115,2022.0500691623088
116,2030.509298674928
117,2024.983702535337
118,2071.3485019434065
119,2022.5523960840899
120,2017.7601776281535
121,2047.789173090423
122,2053.897546947862
123,2070.082628289446
124,2052.712124089968
125,2075.3972863661797
126,2067.842269840448
127,2057.3635536527877
128,2051.988802755821
129,2095.4601941888955
130,2066.94799056466
131,2067.018385011218
132,2073.086533470624
133,2040.354832758791
134,2053.6664961859883
135,2060.478078678557
136,2080.0487159289996
137,2114.7796679784483
138,2132.099890430385
139,2144.9994888045585
140,2139.745168824875
141,2133.1146006234558
142,2140.7498226684365
143,2130.1308081412944
144,2119.9133117640326
145,2128.3022694685023
146,2149.8419890080368
147,2163.0131088189346
148,2177.1785808470686
149,2182.593802418886
150,2180.9661454594434
151,2177.7110768173748
152,2147.9231884664873
153,2147.8930194179625
154,2139.956352164549
155,2162.551007295187
156,2202.927986401509
157,2209.8901688598853
158,2231.5405082440107
159,2221.202580949466
160,2228.1046705876097
161,2230.3651417356245
162,2245.8668818642777
163,2221.765245968297
164,2215.556553892593
165,2236.00111244299
166,2244.4903883657253
167,2255.3004735335257
168,2261.7002362498883
169,2245.3243295444636
170,2221.222693648483
171,2228.124538009809
172,2278.0057485087546
173,2284.6564294091904
174,2286.334368116175
175,2302.7102748215993
176,2293.2160997784845
177,2306.889546511163
178,2333.432422569491
179,2347.989846951632
180,2342.8461468165397
181,2344.202282339258
182,2321.2159201314307
183,2329.654914306625
184,2326.851890838796
185,2341.2587152551296
186,2335.512124703173
187,2349.8988364204906
188,2364.0441957496078
189,2335.954113527904
190,2357.5943965625215
191,2362.356445969933
192,2313.1183512858843
193,2327.746170114584
194,2330.378235640772
195,2354.841654842234
196,2352.741840009535
197,2388.2665078396885
198,2367.148664425869
199,2378.4610765154503
200,2397.077341669873
201,2419.2699880969953
202,2436.299066966826
203,2428.8041432613263
204,2430.3412930751942
205,2443.894063613773
206,2452.4939593811005
207,2438.95124519203
208,2443.411849391009
209,2386.2974255505974
210,2412.0063604301868
211,2419.882934863368
212,2419.882934863368
213,2410.007109092571
214,2444.9489992048775
215,2436.7511121410653
216,2438.8607380464546
217,2412.7699071623674
218,2426.523804691112
219,2432.2201134955276
220,2433.3152744846648
221,2424.9062040811777
222,2456.6634199979735
223,2451.7102999499043
224,2409.1633568411426
225,2421.13875216782
226,2419.2699880969953
227,2405.044177971811
228,2387.201515899076
229,2407.857257789148
230,2414.4277331703347
231,2412.127036624287
232,2418.848111971281
233,2412.9207524049916
234,2434.269646580685
235,2424.403877159397
236,2432.4511642574016
237,2423.188285252978
238,2454.1817091607763
239,2471.0901118365073
240,2494.036493923118
241,2477.288747562703
242,2464.6704816979445
243,2426.794835574202
244,2443.743463647966
245,2417.3813566039707
246,2432.2000007965107
247,2458.5822205395225
248,2430.2812002549617
249,2423.7909303930246
250,2435.8668892147857
251,2432.5215587039593
252,2463.414664393493
253,2463.5250389612665
254,2464.369036489513
255,2465.1225268721846
256,2473.1094758731397
257,2473.8830789548274
258,2481.066255825569
259,2449.901873976129
260,2444.4969540306374
261,2457.3465159340867
262,2479.248018779103
263,2480.895543160745
264,2481.1668193206524
265,2493.011727380539
266,2512.9240352374477
267,2512.09009405871
268,2514.611785017123
269,2458.049724569217
270,2400.935055451988
271,2366.06355978624
272,2378.8027471219157
273,2356.84090617985
274,2351.968236927847
275,2371.558986877307
276,2385.523822468909
277,2392.1342779713123
278,2374.0605651367036
279,2377.7980932783535
280,2339.7014527422452
281,2359.874980409553
282,2365.702021757576
283,2373.578350913939
284,2383.7857909416925
285,2404.60218914708
286,2446.3154363539215
287,2441.061116374237
288,2440.830065612363
289,2438.1374167123085
290,2416.3063083138504
291,2421.6410790896016
292,2408.9923988995006
293,2414.467958568368
294,2421.4401973762524
295,2441.171490942011
296,2446.9080251444593
297,2467.3729416706906
298,2457.4367778028445
299,2467.111721860292
300,2444.969111903894
301,2469.050635100858
302,2490.0078221993617
303,2508.6643127518173
304,2496.8294610414387
305,2486.662246411718
306,2514.802610380964
307,2515.345162700778
308,2517.977228226966
309,2523.1513426874008
310,2541.1848301239756
311,2544.1887353051534
312,2547.7754182041785
313,2519.5445470893583
314,2521.5639111259907
315,2550.588498021516
316,2564.301924875411
317,2562.433160804586
318,2552.9291746887798
319,2547.353296801647
320,2554.5568316482227
321,2531.3090043531793
322,2553.803341265551
323,2534.3330222333734
324,2522.3174015086624
325,2533.981540554217
326,2537.7489924675747
327,2550.668703540765
328,2569.867746413035
329,2582.506370253627
330,2567.0244975471733
331,2537.085763953661
332,2550.7793233853563
333,2545.8865414343372
334,2589.388101915937
335,2603.9958080456195
336,2595.9988026951564
337,2601.1324464807412
338,2589.4786090615116
339,2567.1853991393064
340,2530.7865647323815
341,2559.4191992738997
342,2550.1462639199676
343,2548.1972943298933
344,2573.9866800055493
345,2615.3685582322505
346,2621.4065376431313
347,2610.325176315424
348,2622.2704025935773
349,2587.559563243145
350,2600.3289196273454
351,2580.466893517978
352,2579.090400019426
353,2553.5823468531853
354,2596.0890645639142
355,2609.9533366604337
356,2607.3914203039867
357,2626.801401239114
358,2636.436119898529
359,2646.482658334149
360,2659.231656742515
361,2648.0600335460504
362,2627.213466292138
363,2652.9726829192687
364,2687.3317953137275
365,2693.8017071998306
366,2692.495853424654
367,2685.6440455340517
368,2707.123426976536
369,2700.422464328559
370,2688.8689451275955
371,2663.9635371014015
372,2650.3906538638057
373,2610.767165140155
374,2589.790110619452
375,2557.9122185085566
376,2596.2700788550637
377,2528.1343865071776
378,2547.313316680431
379,2562.714493314001
380,2514.441072352299
381,2522.387795955221
382,2572.43971911899
383,2562.8251131585926
384,2519.1327273131524
385,2556.3652576219974
386,2538.9444716749776
387,2482.1815295137226
388,2430.090129614304
389,2499.883402693341
390,2500.5768002557793
391,2491.7760227751032
392,2532.6452724536985
393,2552.1555716070916
394,2529.289640316547
395,2560.1928023555884
396,2536.0609974110826
397,2508.3628675433856
398,2534.745087286397
399,2586.092807875835
400,2586.2836332396755
401,2608.2856995797747
402,2605.7338395728366
403,2571.3143890813285
404,2571.6158342897606
405,2563.076276619483
406,2582.7173083164844
407,2597.083662057968
408,2571.9874286679333
409,2583.9329002229038
410,2582.847795583275
411,2656.117131716746
412,2649.7779523742506
413,2660.999857318257
414,2666.6961661226724
415,2648.723016783147
416,2686.8998628385043
417,2702.261059350859
418,2700.0807937220934
419,2694.6557610775853
420,2731.225062872517
421,2724.8657708310047
422,2725.9405738443074
423,2745.32038573091
424,2768.4676495308704
425,2784.773161789737
426,2796.316624641192
427,2815.515667513462
428,2770.5473516645525
429,2800.0639638555326
430,2760.741920340314
431,2792.519003679309
432,2769.0604835982263
433,2790.168270662537
434,2696.2733616875194
435,2766.257460130397
436,2766.0666347665565
437,2768.33716226408
438,2797.4017292808203
439,2806.0818305673965
440,2798.2055014110338
441,2818.7807925050383
442,2826.0142511233216
443,2803.7009285020995
