,0
0,137.80430323861677
1,168.24201253042094
2,144.71231630849826
3,186.8578260234344
4,193.33818909920063
5,286.5483757070147
6,125.2691797615432
7,123.424062504242
8,142.88979232358145
9,130.946332975116
10,131.58931436501615
11,142.11790985319948
12,129.53097528936954
13,267.5367084581011
14,139.12356451858147
15,151.63444359004257
16,136.37289327154397
17,239.88743626554725
18,141.3850906139185
19,169.65859963777237
20,144.75554481872524
21,124.85267806140789
22,157.58165281526968
23,286.4296937009047
24,127.19657511724897
25,498.9591671552797
26,134.22881537272156
27,191.33712970525826
28,167.94383999548748
29,154.0021970416926
