,0
0,130.8752780524062
1,133.8683381285094
2,139.40314054283849
3,198.59270867365979
4,179.83159706287657
5,149.93429832078996
6,144.60889732008903
7,153.27430329659404
8,168.3873518907151
9,146.61593024207707
10,165.71819096811512
11,149.3375706242501
12,152.23272874361865
13,187.33507200289577
14,165.9701389070598
15,169.0332805881579
16,138.67959858779184
17,139.1570291723801
18,149.31043803557012
19,137.0190465973121
20,161.8753800052193
21,146.68063458348666
22,142.0141869507438
23,125.73120590648095
24,152.67764935324803
25,131.61456759145418
26,132.7937908582934
27,129.69518741740967
28,133.86497304582542
29,133.8100573160242
