,0
0,149.9680450608038
1,221.64772626486993
2,140.3599237124918
3,139.80427762744057
4,118.9580467575134
5,156.48027292138778
6,180.37654661775758
7,182.47297709546422
8,152.70750601635868
9,134.6399050410913
10,191.01566103513855
11,226.466147472204
12,143.72314820618786
13,144.99274883265164
14,124.1400594999994
15,120.93315475440494
16,197.1374592677988
17,139.52603512876198
18,160.72591169147262
19,127.28743569779714
20,139.75820392489874
21,169.2953370591097
22,149.6566823961577
23,304.2616293789161
24,146.61422454292776
25,277.3670093669604
26,180.3166384517249
27,133.5588969853587
28,138.2683304487951
29,126.9127882501503
